Title,Published_date,Views,likes,Comments,Month
"How To Build A Word Cloud From Scraped Data (P...",2019-09-04,5504,114,10,Sep
"Thank You For The Support | What's Next | Ken ...",2019-08-26,532,23,2,Aug
"Is Data Science Right For You?",2019-08-18,54936,1225,109,Aug
"Data Science Fundamentals: Data Cleaning in Py...",2019-08-11,1569,53,9,Aug
"How To Get Data Science Experience (Without a ...",2019-08-08,30230,1387,77,Aug
"Take Your Data Science Projects From Good to G...",2019-08-05,171,11,1,Aug
"The Projects You Should Do To Get A Data Scien...",2019-07-30,15815,1576,125,Jul
"What Does a Data Scientist Actually Do?",2019-07-19,7053,514,75,Jul
"Data Science Fundamentals: Data Manipulation i...",2019-07-13,1401,73,6,Jul
"Data Science Fundamentals: Data Exploration in...",2019-07-05,1932,055,161,Jul
"Data Science: Pros and Cons",2019-06-30,5978,232,18,Jun
"How I Got My First Data Science Internship (An...",2019-06-21,27574,1274,89,Jun
"My Top 5 Data Science Internship Tips",2019-06-15,12479,508,24,Jun
"Golf STATS: Strokes Gained Explained",2019-06-07,971,118,0,Jun
"Most Data Science Hopefuls Overlook This Impor...",2019-05-25,6334,35,5,May
"What I Learned From My Three Degrees",2019-05-17,1319,59,1,May
"I Wish I Had Known THIS Before Starting in Dat...",2019-05-14,25769,1057,66,May
"NASA Physicist Turned Data Scientist (Tim Bowl...",2019-05-05,131,13,8,May
"Should You Learn R for Data Science?",2019-04-25,2287,157,67,Apr
"Scrape Twitter Data in Python with Twitterscra...",2019-04-18,471,18,8,Apr
"Work From Home Data Scientist: Day in the Life",2019-04-12,2862,375,51,Apr
"Where to Look for Data Science Jobs",2019-03-29,3085,117,9,Mar
"Data Science: Startup vs. Large Corporation",2019-03-21,2689,83,4,Mar
"Data Science, Machine Learning, and AI: What's...",2019-03-16,670,41,8,Mar
"Was Captain Marvel Bad? A Sentiment Analysis o...",2019-03-09,436,41,7,Mar
"Why You DON'T Want to be a WFH Data Scientist",2019-03-03,863,32,12,Mar
"Welcome To My Channel | Ken Jee | Data Science",2019-03-03,193,33,7,Mar
"Where YOU Should Start With Data Science Projects",2019-02-19,2006,837,62,Feb
"Watch This Before Applying to Data Science Jobs",2019-02-04,1559,65,13,Feb
"My Top 5 Data Science Resources for 2019",2019-01-05,3847,120,15,Jan
"IT'S NOT TOO LATE TO LEARN CODE!",2018-12-18,871,34,6,Dec
"The Best Way to Predict NBA Minutes Played",2018-12-11,596,61,29,Dec
"Demystifying Data Science Roles",2018-11-30,1189,50,5,Nov
"How to Simulate NBA Games in Python",2018-11-19,1949,64,16,Nov
"Should You Get A Masters in Data Science?",2018-11-14,2142,63,31,Nov
"How I Became A Data Scientist From a Business ...",2018-11-12,685,42,0,Nov
"Predicting Season Long NBA Wins Using Multiple...",2018-07-10,960,31,9,Jul
"Predicting Crypto-Currency Price Using RNN lST...",2017-11-18,1981,92,9,Nov
